ticker,company_name,industry_code,industry_name,chain_kg_score,product_signal_weight,matched_product_keywords,top_chain_products
002539.SZ,云图控股,220805,复合肥,0.049811,0.049811,磷酸一铵,常规复合肥(0.294); 新型复合肥(0.232); 联碱(0.133); 磷化工(0.090); 品种盐(0.061); 磷酸一铵(0.050); 工业盐(0.007); 川菜调味品(0.007)
600078.SH,*ST澄星,220802,磷肥及磷化工,0.017508,0.017508,黄磷,磷酸盐类(0.368); 黄磷(0.018); 电子产品制造(0.001)
002408.SZ,齐翔腾达,750303,其他石化,0.001,0.001,乙烯,甲乙酮类(0.687); 供应链管理(0.572); 顺酐化工类(0.556); 丁二烯类(0.249); 混合丁烷(0.151); 乳液化工类(0.109); 裂解异丁烯类(0.082); 叔丁醇(0.031)
000420.SZ,吉林化纤,220403,粘胶,0.0,0.0,,化纤(0.875); 粘胶长丝(0.504); 粘胶短丝(0.278); 竹浆短纤(0.205); 粘胶短纤(0.116); 浆粕(0.081); 圣麻纤维(0.076); 纱线(0.056)
000677.SZ,恒天海龙,220403,粘胶,0.0,0.0,,帘帆布帘子布(0.984); 粘胶短丝(0.755); 粘胶短纤维(0.746); 加工费(0.154); 粘胶长纤维(0.048); 粘胶长丝(0.025); 空心砖(0.001); 许可证范围内普通货运(0.001)
000902.SZ,新洋丰,220805,复合肥,0.0,0.0,,常规复合肥(0.521); 磷铵(0.241); 磷肥(0.234); 尿基复合肥(0.204); 硫酸钾复合肥(0.174); 高塔复合肥(0.166); 新型复合肥(0.116); BB肥(0.045)
002170.SZ,芭田股份,220805,复合肥,0.0,0.0,,芭田复合肥系列(0.865); 中挪复合肥系列(0.048); 中美复合肥系列(0.037); 好阳光复合肥系列(0.024); 美加特复肥系列(0.009); 美加特复合肥系列(0.008); 中芬复合肥系列(0.005); 哈乐复合肥系列(0.001)
002172.SZ,澳洋健康,220403,粘胶,0.0,0.0,,粘胶短纤(0.947); 化学纤维(0.660); 蒸汽(0.017); 健康管理(0.001); 粘胶纤维及粘胶纤维品(0.001); 可降解纤维(0.001); 蒸汽热供应(0.001); 功能性纤维制造(0.001)
002211.SZ,宏达新材,220316,有机硅,0.0,0.0,,混炼胶(0.788); 混炼胶(0.788); 专网无线通信设备(0.469); 专网无线通信设备(0.469); 信息通讯设备(0.223); 信息通讯设备(0.223); 特种胶(0.103); 特种胶(0.103)
002588.SZ,史丹利,220805,复合肥,0.0,0.0,,氯基复合肥(0.600); 滚筒氯基(0.463); 高塔氯基(0.262); 硫基复合肥(0.182); 滚筒硫基(0.125); 原料化肥销售(0.099); 高塔硫基(0.035); 生物菌肥(0.001)
002778.SZ,中晟高科,750303,其他石化,0.0,0.0,,润滑油销售业务(0.458); 变压器油(0.382); 污水处理设施委托运营业务(0.206); 内燃机油(0.171); 液压油(0.159); 溶剂油(0.079); 土壤修复业务(0.014)
002986.SZ,宇新股份,750303,其他石化,0.0,0.0,,
002999.SZ,天禾股份,220805,复合肥,0.0,0.0,,
300135.SZ,宝利国际,750303,其他石化,0.0,0.0,,通用型改性沥青(0.766); 通用改性沥青(0.431); 通航业务(0.341); 道路石油沥青(0.141); 飞行器租售(0.119); 燃料油(0.049); 飞行器运营(0.031); ABS回料颗粒(0.026)
300387.SZ,富邦股份,220805,复合肥,0.0,0.0,,化肥助剂(0.980); 防结剂(0.352); 多功能包裹剂(0.324); 造粒改良剂(0.176); 增值肥料(0.143); 矿石浮选剂(0.054); 智能设备(0.015); 缓释材料(0.014)
300505.SZ,川金诺,220802,磷肥及磷化工,0.0,0.0,,DCP(0.773); 饲料级鱗酸盐(0.757); 饲料级磷酸氢钙(0.627); 饲料级磷酸盐(0.450); 饲料级磷酸二氢钙(0.168); 重过磷酸钙(0.146); 肥料级磷酸氢钙(0.097); 湿法粗磷酸(0.071)
300821.SZ,东岳硅材,220316,有机硅,0.0,0.0,,
300839.SZ,博汇股份,750303,其他石化,0.0,0.0,,
600889.SH,南京化纤,220403,粘胶,0.0,0.0,,粘胶长丝(0.462); 粘胶短丝(0.415); 粘胶短纤(0.227); 城市生态补水(0.118); 景观水(0.065); 自来水(0.033); 化纤用浆粕(0.001); 化学纤维制品(0.001)
603155.SH,新亚强,220316,有机硅,0.0,0.0,,
603798.SH,康普顿,750303,其他石化,0.0,0.0,,车用润滑油(0.814); 车用润滑剂(0.814); 车用油润滑油(0.765); 普通润滑油(0.598); 纳米润滑油(0.247); 工业润滑油(0.072); 工业润滑剂(0.069); 防冻液(0.067)
605399.SH,晨光新材,220316,有机硅,0.0,0.0,,
